benchmark,pcubes,dist,len,time
newcond,20,20,152,0.3
sym10,85,85,835,59.9
b4,95,67,795,13.76
5xp1,44,44,248,0.11
dk27,12,11,108,0.01
rd84,69,69,528,1.34
ts10,128,128,896,0.05
bcd,276,187,4181,10.44
p82,36,32,160,0.01
exps,363,316,2713,4.17
test1,158,158,1268,0.44
p1,79,70,605,0.21
newtpla2,15,15,97,0.05
clip,78,77,585,2.69
b9,114,114,994,5.69
tial,521,521,6329,803.17
dc1,19,16,61,0
Z9sym,51,51,431,6.75
in2,155,135,1523,34
f51m,48,48,252,0.52
max46,25,25,233,0.17
t4,34,28,279,0.08
newtag,6,6,27,0.01
gary,161,135,1465,32.48
p3,59,52,440,0.18
mytest,1,1,2,0
sqn,28,28,176,0.12
newapla2,7,7,42,0
rd53,16,16,74,0.01
duke2,176,119,1629,2.82
m2,83,75,528,0.46
clpl,20,20,90,0.15
ryy6,112,112,1160,115.43
life,24,24,206,0.34
ex5,304,263,1515,9.44
alcom,44,42,189,0.01
br1,34,31,388,0.13
dk17,27,27,264,0.03
exam,150,146,1500,2.18
bcd.div3,7,7,29,0
in0,163,137,1491,30.07
newtpla,20,20,170,0.08
dc2,34,34,197,0.04
soar,455,405,3799,542
br2,29,17,307,0.08
alu3,64,63,365,0.31
mark1,50,34,762,11.93
t1,139,121,762,3.26
alu1,19,19,49,0.01
test4,568,551,4565,1.84
b2,566,283,5291,312.1
misex3c,301,294,2842,514.82
bca,444,297,6766,14.43
bcb,376,247,5625,11.04
alu2,50,50,302,0.13
inc,42,42,211,0.03
sex,35,31,136,0.01
risc,46,36,210,0.01
dekoder,21,16,70,0.01
prom2,666,660,5791,17.38
m1,33,28,148,0.02
squar5,21,21,83,0.01
apla,50,49,477,0.1
o64,RAN OUT OF MEMORY,,,
t2,53,52,369,0.37
exp,80,72,607,0.17
tms,81,61,523,0.45
mlp4,94,94,646,0.95
e64,65,65,2145,1.51
newcpla1,55,52,316,0.15
Z5xp1,47,47,240,0.18
sao2,54,54,512,2.52
test2,2556,2542,29742,63.28
max512,128,126,991,7.19
rd73,47,47,325,0.3
bw,83,64,335,0.02
in7,77,66,669,49.92
ex7,114,114,994,5.59
vg2,121,121,1335,226.01
ibm,298,298,2439,356.36
max1024,210,209,2026,35.22
9sym,64,64,568,12.32
newxcpla1,67,60,316,0.3
apex4,660,643,5920,19.31
newcwp,9,9,25,0
pdc,296,260,3720,108.34
z4,28,28,157,0.14
addm4,136,136,1067,5.36
newcpla2,35,21,179,0.04
dist,98,98,716,1.61
in6,96,67,805,13.5
newill,6,6,40,0.06
bc0,TIME EXPIRED,,,
apex3,470,396,4147,202.71
xor5,4,4,20,0
x6dn,183,136,1888,594.81
l8err,69,69,486,1.09
sqr6,39,39,182,0.04
m4,164,152,1044,3.82
bench,24,24,149,0.01
m181,49,47,220,0.36
intb,457,457,5612,765.07
in1,566,283,5291,315.46
adr4,33,33,196,0.77
m3,96,89,641,0.91
spla,302,269,3703,127.35
rckl,97,93,1863,284.23
b12,49,47,219,0.36
fout,77,74,436,0.07
b7,45,35,205,0.01
in3,222,137,1825,319.66
add6,45,45,315,85.71
t3,30,30,213,0.15
pope.rom,238,218,1072,0.66
in4,TIME EXPIRED,,,
bcc,380,251,5833,14.21
t481,TIME EXPIRED,,,
luc,127,65,644,0.19
newtpla1,4,4,34,0
newapla1,11,11,80,0.01
con1,9,9,30,0
misj,48,43,206,0.07
test3,1407,1394,14594,15.67
log8mod,39,38,202,0.05
misex1,26,20,110,0.01
vtx1,116,116,1504,255.8
newbyte,8,8,40,0
b10,147,127,1339,28.65
shift,105,100,405,0.05
dk48,26,26,388,0.05
bench1,181,180,1663,0.69
max128,145,136,777,0.74
cordic,TIME EXPIRED,,,
signet,TIME EXPIRED,,,
ex1010,516,516,5384,6.84
misex3,728,710,8443,923.41
table3,360,287,4356,22.71
wim,20,16,65,0.01
table5,383,260,4790,157.99
co14,7,7,98,0.04
x9dn,132,132,1795,283.24
in5,193,152,1992,22.56
lin.rom,331,309,1990,1.98
newapla,28,25,162,0.32
radd,20,20,101,0.19
x1dn,120,120,1558,242.11
mp2d,70,64,381,4.32
b11,45,35,205,0.01
alu4,528,527,6466,1043.87
misex2,29,29,193,0.01
prom1,1535,1498,13349,109.68
root,48,48,322,1.16
