benchmark,pcubes,dist,len,time
newcond,25,25,166,0.27
sym10,90,90,713,6.01
b4,91,68,702,0.11
5xp1,53,51,228,0.05
dk27,12,11,108,0
rd84,70,70,491,0.35
ts10,128,128,896,0.09
bcd,299,188,4460,2.66
p82,37,34,157,0.01
exps,419,355,2955,0.72
test1,157,157,1255,0.2
p1,91,83,656,0.07
newtpla2,15,14,82,0
clip,117,116,606,0.25
b9,72,72,437,0.36
tial,569,565,4269,20.41
dc1,21,15,59,0
Z9sym,57,57,398,0.9
in2,160,137,1364,0.95
f51m,53,53,268,0.41
max46,25,25,226,0.05
t4,39,35,316,0.03
newtag,8,8,18,0
gary,184,147,1472,0.62
p3,66,61,460,0.05
mytest,1,1,2,0
sqn,36,36,204,0.03
newapla2,7,7,42,0
rd53,19,19,82,0
duke2,176,123,1535,0.27
m2,103,94,617,0.25
clpl,20,20,55,0
ryy6,112,112,624,2.08
life,24,24,199,0.11
ex5,423,351,1828,5.14
alcom,44,44,182,0
br1,34,29,386,0.06
dk17,27,27,262,0.04
exam,165,160,1616,0.6
bcd.div3,7,7,29,0
in0,175,148,1542,0.54
newtpla,21,21,161,0.02
dc2,34,34,190,0.01
soar,477,422,3012,3.06
br2,30,22,313,0.04
alu3,68,68,284,0.06
mark1,50,35,757,0.08
t1,148,121,711,0.23
alu1,19,19,41,0
test4,582,566,4607,0.92
b2,605,239,5076,3.4
misex3c,216,199,1414,8.61
bca,481,322,7259,4.24
bcb,394,269,5903,3.32
alu2,50,50,246,0.03
inc,46,44,218,0.01
sex,35,25,111,0
risc,46,35,199,0.01
dekoder,23,13,75,0
prom2,760,744,6177,3.68
m1,34,30,135,0.01
squar5,23,23,83,0
apla,53,51,500,0.04
o64,RAN OUT OF MEMORY,,,
t2,58,55,373,0.04
exp,84,76,607,0.06
tms,93,74,544,0.04
mlp4,117,117,755,0.3
e64,65,65,2145,1.5
newcpla1,55,44,259,0.01
Z5xp1,55,55,256,0.09
sao2,61,53,367,0.12
test2,2576,2562,29875,29.87
max512,160,159,1113,1.94
rd73,72,72,391,0.11
bw,96,66,333,0.01
in7,95,78,608,0.34
ex7,72,72,437,0.35
vg2,110,110,804,1.16
ibm,159,159,817,0.3
max1024,293,289,2406,9.56
9sym,57,57,346,0.38
newxcpla1,72,57,259,0.01
apex4,726,681,6149,3.11
newcwp,9,9,24,0
pdc,504,475,6378,86.16
z4,38,38,202,0.05
addm4,167,167,1239,1.23
newcpla2,39,22,171,0.01
dist,124,123,816,0.35
in6,92,68,712,0.09
newill,6,6,31,0
bc0,502,393,4114,5.34
apex3,537,478,4324,2.92
xor5,4,4,20,0
x6dn,189,135,1573,0.92
l8err,92,92,593,0.31
sqr6,48,47,210,0.02
m4,220,209,1271,1.26
bench,24,23,148,0
m181,60,55,177,0.07
intb,576,576,4718,23.95
in1,605,239,5076,3.41
adr4,52,52,296,0.24
m3,111,107,683,0.37
spla,410,383,4943,91.7
rckl,97,96,1143,1.01
b12,61,56,179,0.1
fout,79,77,441,0.03
b7,45,34,194,0.01
in3,211,146,1475,0.22
add6,286,286,1938,11.92
t3,32,32,218,0.04
pope.rom,265,221,1056,0.22
in4,347,292,3653,8.06
bcc,425,265,6436,2.99
t481,481,481,4752,128.73
luc,140,66,649,0.05
newtpla1,4,4,33,0
newapla1,11,11,70,0
con1,9,9,23,0
misj,48,35,77,0
test3,1424,1412,14718,6.55
log8mod,41,40,195,0.01
misex1,27,19,104,0
vtx1,110,110,964,1.1
newbyte,8,8,40,0
b10,159,134,1393,0.45
shift,105,101,400,0.01
dk48,26,26,388,0.03
bench1,181,180,1663,0.3
max128,165,152,801,0.39
cordic,61,61,408,22.01
signet,143,124,577,50.1
ex1010,519,517,5386,3.2
misex3,855,819,8214,46.84
table3,389,294,4541,2.11
wim,22,16,69,0
table5,417,252,4927,2.94
co14,7,7,98,0.02
x9dn,120,120,1138,1.35
in5,172,90,1529,0.73
lin.rom,369,343,2021,0.58
chkn,135,135,1551,8.62
b3,336,284,3514,7.93
newapla,27,22,118,0.01
radd,46,46,212,0.06
x1dn,110,110,964,1.12
mp2d,70,53,276,0.05
b11,45,34,194,0.01
alu4,752,745,5628,52.18
misex2,29,29,188,0
prom1,1742,1660,13844,14.26
root,66,63,417,0.34
